Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-05-24,976.0,981.0,970.23,980.35,2407995.0,0.0,1.0,976.0,981.0,970.23,980.35,2407995.0
2017-05-23,975.02,975.2,966.85,971.54,2395510.0,0.0,1.0,975.02,975.2,966.85,971.54,2395510.0
2017-05-22,964.0,971.38,962.9,970.7,2613805.0,0.0,1.0,964.0,971.38,962.9,970.7,2613805.0
2017-05-19,962.84,968.92,959.72,959.84,3846299.0,0.0,1.0,962.84,968.92,959.72,959.84,3846299.0
2017-05-18,944.8,962.75,944.76,958.49,3876816.0,0.0,1.0,944.8,962.75,944.76,958.49,3876816.0
2017-05-17,954.7,960.3957,944.12,944.52,5073254.0,0.0,1.0,954.7,960.3957,944.12,944.52,5073254.0
2017-05-16,961.0,970.06,960.91,966.07,3050005.0,0.0,1.0,961.0,970.06,960.91,966.07,3050005.0
2017-05-15,958.73,963.15,956.055,957.97,4245856.0,0.0,1.0,958.73,963.15,956.055,957.97,4245856.0
2017-05-12,954.5,962.79,951.53,961.35,3605620.0,0.0,1.0,954.5,962.79,951.53,961.35,3605620.0
2017-05-11,945.11,950.29,940.775,947.62,2135393.0,0.0,1.0,945.11,950.29,940.775,947.62,2135393.0
2017-05-10,953.5,953.7499,945.0,948.95,2083441.0,0.0,1.0,953.5,953.7499,945.0,948.95,2083441.0
2017-05-09,952.8,957.89,950.2,952.82,3230630.0,0.0,1.0,952.8,957.89,950.2,952.82,3230630.0
2017-05-08,940.95,949.05,939.21,949.04,3370672.0,0.0,1.0,940.95,949.05,939.21,949.04,3370672.0
2017-05-05,940.52,940.79,930.3,934.15,2856585.0,0.0,1.0,940.52,940.79,930.3,934.15,2856585.0
2017-05-04,944.75,945.0,934.215,937.53,2380874.0,0.0,1.0,944.75,945.0,934.215,937.53,2380874.0
2017-05-03,946.0,946.0,935.9,941.03,3544234.0,0.0,1.0,946.0,946.0,935.9,941.03,3544234.0
2017-05-02,946.645,950.1,941.413,946.68,3800912.0,0.0,1.0,946.645,950.1,941.413,946.68,3800912.0
2017-05-01,927.8,954.4,927.8,948.43,5415793.0,0.0,1.0,927.8,954.4,927.8,948.43,5415793.0
2017-04-28,948.83,949.59,924.3335,924.99,7278819.0,0.0,1.0,948.83,949.59,924.3335,924.99,7278819.0
2017-04-27,914.39,921.86,912.11,918.76,4255693.0,0.0,1.0,914.39,921.86,912.11,918.76,4255693.0
2017-04-26,910.3,915.7489999999999,907.56,909.29,2562595.0,0.0,1.0,910.3,915.7489999999999,907.56,909.29,2562595.0
2017-04-25,907.04,909.48,903.0,907.62,3367734.0,0.0,1.0,907.04,909.48,903.0,907.62,3367734.0
2017-04-24,908.68,909.99,903.82,907.41,3118123.0,0.0,1.0,908.68,909.99,903.82,907.41,3118123.0
2017-04-21,902.67,903.65,896.77,898.53,2420494.0,0.0,1.0,902.67,903.65,896.77,898.53,2420494.0
2017-04-20,899.7,905.32,896.29,902.06,2814441.0,0.0,1.0,899.7,905.32,896.29,902.06,2814441.0
2017-04-19,907.84,910.5,897.3689999999999,899.2,2870242.0,0.0,1.0,907.84,910.5,897.3689999999999,899.2,2870242.0
2017-04-18,900.99,909.61,900.78,903.78,2999238.0,0.0,1.0,900.99,909.61,900.78,903.78,2999238.0
2017-04-17,887.5,902.38,887.5,901.99,2854673.0,0.0,1.0,887.5,902.38,887.5,901.99,2854673.0
2017-04-13,891.45,894.97,884.49,884.67,3174583.0,0.0,1.0,891.45,894.97,884.49,884.67,3174583.0
2017-04-12,903.09,904.09,895.2501,896.23,2456140.0,0.0,1.0,903.09,904.09,895.2501,896.23,2456140.0
2017-04-11,907.04,911.24,897.5,902.36,3012743.0,0.0,1.0,907.04,911.24,897.5,902.36,3012743.0
2017-04-10,899.63,908.51,899.0,907.04,3184301.0,0.0,1.0,899.63,908.51,899.0,907.04,3184301.0
2017-04-07,899.65,900.09,889.31,894.88,3707367.0,0.0,1.0,899.65,900.09,889.31,894.88,3707367.0
2017-04-06,913.8,917.1899,894.4927,898.28,6344065.0,0.0,1.0,913.8,917.1899,894.4927,898.28,6344065.0
2017-04-05,910.82,923.72,905.62,909.28,7508370.0,0.0,1.0,910.82,923.72,905.62,909.28,7508370.0
2017-04-04,891.5,908.5384,890.28,906.83,4984656.0,0.0,1.0,891.5,908.5384,890.28,906.83,4984656.0
2017-04-03,888.0,893.49,885.42,891.51,3422328.0,0.0,1.0,888.0,893.49,885.42,891.51,3422328.0
