favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
59531,Twitter for iPhone,Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,,False,Sat Apr 22 16:05:37 +0000 2017,10002,855814859069558784
61982,Twitter for iPhone,"In other words, Russia was against Trump in the 2016 Election - and why not, I want strong military &amp; low oil price… https://t.co/25RQ0uIqCb",,False,Sat Jul 29 11:07:18 +0000 2017,18184,891253798500487168
88453,Twitter Web Client,"It is time to rebuild OUR country, to bring back OUR jobs, to restore OUR dreams, &amp; yes, to put #AmericaFirst! TY O… https://t.co/2b2bXwxGkA",,False,Fri Jun 09 22:52:23 +0000 2017,20851,873311842956914688
65845,Twitter for iPhone,A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m,,False,Thu Mar 16 15:52:22 +0000 2017,13873,842403173742579714
87564,Media Studio,America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and ext… https://t.co/Kkcs2dT4Yy,,False,Thu Jul 06 16:02:25 +0000 2017,21712,882993144194838528
65427,Twitter for iPhone,"Am leaving now for Florida to see our GREAT first responders and to thank the U.S. Coast Guard, FEMA etc. A real disaster, much work to do!",,False,Thu Sep 14 11:05:55 +0000 2017,10271,908285679335034880
110747,Twitter for iPhone,Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,,False,Wed Feb 14 20:55:01 +0000 2018,19181,963879275324760070
36337,Twitter for iPhone,"....the wall is not built, which it will be, the drug situation will NEVER be fixed the way it should be!
#BuildTheWall",realDonaldTrump,False,Mon Apr 24 15:31:57 +0000 2017,7654,856531163799859201
80973,Twitter for iPhone,United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.,,False,Sat Aug 05 23:14:18 +0000 2017,17523,893973466508079104
44868,Twitter for iPhone,It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz,,False,Thu Nov 02 02:30:43 +0000 2017,9916,925913030159937537
64388,Twitter for iPhone,"Arizona had a 116% increase in ObamaCare premiums last year, with deductibles very high. Chuck Schumer sold John McCain a bill of goods. Sad",,False,Sat Sep 23 10:50:14 +0000 2017,15726,911543222731706368
106220,Twitter for iPhone,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,,False,Sat Aug 05 22:44:34 +0000 2017,24548,893965986566733824
87821,Twitter for iPhone,"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We… https://t.co/nhI3wsUInj",,False,Sun Dec 31 18:36:28 +0000 2017,18259,947536951464333318
95314,Twitter for iPhone,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling &amp; energy sector...,,False,Sun Jun 11 12:22:20 +0000 2017,23288,873878061778907137
89784,Twitter for iPhone,"Come on Republican Senators, you can do it on Healthcare. After 7 years, this is your chance to shine! Don't let the American people down!",,False,Thu Jul 27 11:24:52 +0000 2017,20443,890533442135502849
309187,Twitter for iPhone,My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!,,False,Mon Oct 02 11:11:37 +0000 2017,72009,914810093874671617
57380,Twitter for iPhone,What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats.,,False,Thu Apr 27 14:37:51 +0000 2017,13148,857604709829529601
116943,Twitter for Android,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",,False,Tue Mar 07 14:14:03 +0000 2017,24772,839116941956640768
45936,Twitter for iPhone,"In analyzing the Alabama Primary race,FAKE NEWS always fails to mention that the candidate I endorsed went up MANY points after endorsement!",,False,Sat Sep 30 23:24:18 +0000 2017,7082,914269704440737792
